Начало измерений.  Дата: 25.08.2016  Время: 20:20:23

№      dt          Канал 1     Канал 2     Канал 3     Канал 4     Канал 5     Канал 6     Канал 7     Канал 8     
       [c]         [°C]        [°C]        [°C]        [°C]        [°C]        [°C]        [°C]        [°C]        
1      0.000       -1.31540    -0.68146    -0.88449    -1.23828    -0.77664    -1.02609    -0.75815    -1.65323    
2      65.411      -1.22809    -0.64862    -0.82346    -1.19537    -0.70969    -0.95724    -0.70370    -1.55975    
3      130.838     -1.17795    -0.59137    -0.79471    -1.17242    -0.69968    -0.94934    -0.70596    -1.47162    
4      196.966     -1.24585    -0.62839    -0.83362    -1.19403    -0.72971    -0.98172    -0.72006    -1.53497    
5      262.378     -1.24969    -0.63297    -0.82880    -1.19086    -0.71582    -0.96881    -0.70459    -1.56342    
6      327.804     -1.21179    -0.61176    -0.80576    -1.18356    -0.70831    -0.97238    -0.71078    -1.52246    
7      393.231     -1.25049    -0.62286    -0.80099    -1.18658    -0.70493    -0.96799    -0.69785    -1.57187    
8      458.642     -1.21454    -0.60248    -0.78351    -1.17419    -0.68567    -0.94998    -0.68008    -1.54153    
9      524.771     -1.26727    -0.63620    -0.82568    -1.20612    -0.72794    -0.99240    -0.71249    -1.56262    
10     590.183     -1.24899    -0.62177    -0.78778    -1.18774    -0.69083    -0.95892    -0.69138    -1.57474    
11     655.609     -1.25455    -0.61719    -0.80576    -1.20828    -0.71130    -0.98370    -0.70853    -1.55951    
12     721.036     -1.27948    -0.62781    -0.81860    -1.21970    -0.72260    -0.98917    -0.69861    -1.60144    
13     787.149     -1.23700    -0.62308    -0.77753    -1.18341    -0.66364    -0.92599    -0.63132    -1.56067    
14     852.576     -1.15408    -0.56369    -0.73508    -1.15588    -0.65308    -0.92145    -0.64557    -1.44037    
15     918.003     -1.20969    -0.58423    -0.75131    -1.15460    -0.65839    -0.92599    -0.65186    -1.51453    
16     983.414     -1.24118    -0.59998    -0.76944    -1.16830    -0.67020    -0.94421    -0.65924    -1.55405    
17     1048.841    -1.21619    -0.57843    -0.74658    -1.15143    -0.63901    -0.90784    -0.61642    -1.53714    
18     1114.954    -1.15619    -0.54846    -0.72394    -1.14084    -0.63663    -0.90848    -0.62674    -1.45917    
